product_description,rating_score,number_of_global_rating,current_price,original_price,display_size,disk_size,ram,operating_system
"Lenovo IdeaPad 1 Laptop, 15.6"" HD Display, AMD Athlon Silver 3050U Processor, Windows 11 Home, 12GB RAM, 384GB SSD (128GB eMMC+256GB PCIe SSD), Webcam, HDMI, WiFi 6, USB Type-C, Long Battery Life, PCM",,,399.00,449.00,15.6 inches,-,12.0 GB,Windows 11 Home
"HP Newest Flagship 14"" HD Business Laptop Computer, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 512GB PCIe SSD, Iris Xe Graphics, Webcam, WiFi, Bluetooth, Win 11 Home, w/GM Accessories",4.4 ,303,569.00,,14 inches,512 GB,16 GB,Windows 11 Home
"HP Newest 14"" Thin Light Laptop, Intel Dual-Core N4020, 8GB RAM, 128GB Storage(64GB eMMC+64GB Micro SD), 1Yr Office, Win 10 Bundle w/GaPi Mousepad (White)",4.3 ,826,287.39,,14 inches,64 GB,8 GB,Windows 10 S
"Acer 2022 15inch HD IPS Chromebook, Intel Dual-Core Celeron Processor Up to 2.55GHz, 4GB RAM, 32GB Storage, Super-Fast WiFi Up to 1300 Mbps, Chrome OS-(Renewed) (Dale Silver)",4.4 ,953,166.00,,15 inches,32 GB,4.0 GB,Chrome OS
"HP 2023 17"" FHD IPS Laptop, Windows 11, Intel Quad-Core i5-1135G7 Processor Up to 4.2GHz, 8GB RAM, 512GB SSD, Super-Fast WiFi Speed(Renewed)",,,409.99,,17 inches,512 GB,8 GB,Windows 11
"HP ChromeBook 11 G4 11.6 Inch Business Notebooks, Intel Celeron Processor N2840 2.16GHz, 2G RAM, 16G SSD, WiFi, HDMI, Chrome OS(Renewed)",4.0 ,23,64.99,,11.6 inches,16 GB,2 GB,Chrome OS
Gateway Newest Touchscreen 11.6 HD 2-in-1 Convertible Laptop in Black Intel N4020 4GB RAM 64GB SSD Mini-HDMI Webcam Windows 10 S (Renewed),4.0 ,217,135.00,299.95,11.6 inches,64 GB,-,Windows 10 S
"Lenovo IdeaPad 1 14IGL7 14"" Laptop Intel Pentium Silver N5030 4GB Ram 128 GB eMMC W11H in S mode (Renewed)",4.1 ,11,139.00,182.84,14 inches,128 GB,4 GB,"Windows 11 Home, English"
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",4.1 ,675,189.99,204.90,15.6 inches,64 GB,4 GB,Windows 11 S
"HP Newest 14 FHD Laptop for Business and Students Essential, 16GB RAM, 1TB PCIe SSD, AMD Ryzen Dual-Core Processor, Webcam, HDMI, WiFi, Fast Charge, Long Battery Life, Win 11 Home, GM Accessories",4.3 ,805,469.00,,14 inches,1 TB,16 GB,Windows 11 S
"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",4.4 ,92,299.00,319.00,14 inches,256 GB,12.0 GB,Windows 11 Pro
"Lenovo 15.6"" IdeaPad 1 Laptop, 20GB Memory, 1TB SSD Storage, Intel Pentium Processor (4-cores, 3.3GHz), 15.6"" Anti-glare Display, Wi-Fi 6 and Bluetooth, HDMI, Type-C, 1 Year Office 365,Windows 11 Home",4.3 ,69,384.87,,15.6 inches,1 TB,20 GB,Windows 11
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 Laptops 14 inch 1080P IPS Display, WiFi 5, Bluetooth, USB Type C, Webcam",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"ECOHERO Windows 11 Laptop, 15.6 inches FHD(1920 x 1080) IPS Display, Intel Core i3-5005U, 12GB RAM and 512GB SSD Laptop Computer, 2.4G/5G WiFi, BT5.0 and RJ45, Full Functional Type C, Space Gray",4.3 ,112,349.00,,15.6 inches,512 GB,12.0 GB,Windows 11 Pro
"Dell Newest Inspiron 3000 i3511 Laptop - 15.6"" FHD Touchscreen - 10th Gen Intel Core i5-1035G1 - UHD Graphics - 16GB DDR4-512GB NVMe SSD - HDMI Bluetooth Wi-Fi - Windows 11 Home",,,769.00,,15.6 inches,512 GB,16 GB,Windows 11 Home
"Apple MacBook Air with Intel Core i5, 1.6GHz, (13-inch, 4GB,128GB SSD) - Silver (Renewed)",4.2 ,1628,244.95,269.95,13.3 inches,128 GB,4 GB,Mac OS
"SAMSUNG 2023 11"" HD IPS Chromebook, Intel Celeron N Processor Up to 2.79GHz, 4GB Ram, 32GB SSD, Intel 4K Graphics, Super-Fast WiFi Speed, Chrome OS, Dale Gray(Renewed)",4.3 ,49,123.99,,11 inches,32 GB,32.0 GB,Chrome OS
"Dell Latitude 7490 Business Laptop, 14"" FHD (1920 x 1080) Laptop, Intel Core i5-8350U 1.7GHz, 16GB DDR4 RAM, 512GB SATA SSD, Webcam, Bluetooth, Windows 10 Pro (Renewed)",4.2 ,126,249.93,267.90,14 inches,512 GB,16 GB,Windows 10 Pro
Lenovo Laptop 17inch Screen| Ryzen5 5625U| Windows11 Laptop| FHD IPS Display Narrow Bezel| USB Type-C| Wireless Wi-Fi 6| SD Card Reader| Fingerprint| Webcam| HDMI Cable (16GB RAM | 1TB SSD),4.5 ,302,649.99,,17 inches,1 TB,16.0 GB,Windows 11 Home
